SD District Attorney,SDDistAtty,Thu Jul 27 20:48:39 +0000 2017,"Surviving an Opiate Overdose...In this video we meet a family who was affected by this epidemic:… https://t.co/1IwJp18Elo"
Gerry Doherty,gerrydoherty16,Thu Jul 27 20:47:58 +0000 2017,"RT @Bob_Flan: Jesus! Ireland, with our tiny population, has the 5th highest figures for death by drug overdose in Europe!  #KeepTheRecovery…"
Pistil + Stigma,PistilStigma,Thu Jul 27 20:47:52 +0000 2017,"#Cannabis has never killed anyone, yet it is subject to more regulations than highly-lethal #opioids. #DEA @MJNA_Inc https://t.co/cUytmFTkzo"
blaise.mb❤️,paolamkp,Thu Jul 27 20:47:47 +0000 2017,"C'est bon j'y vais plus overdose de cette ville"
Gui,guiiribeiro11,Thu Jul 27 20:47:25 +0000 2017,"RT @mayrcha: Chegar do trabalho e ver o Gui, aí eu chego em casa, me arrumo e vou ir ver o Gui. Vou morrer de overdose desse menino ❤️"
👽캐롤라👽,MochiAgustD2,Thu Jul 27 20:47:21 +0000 2017,"RT @exofancy: Yo, la primera vez que escuché Overdose: https://t.co/uReaqbBmQK"
Debora Sanders,dsanders4922,Thu Jul 27 20:47:06 +0000 2017,"Lamar Odom shares chilling reality of cocaine addiction https://t.co/WYKXjL4zRb"
Giovanni Nascimento,Nasc_Garage,Thu Jul 27 20:46:53 +0000 2017,"Gostei de um vídeo @YouTube https://t.co/TZHD3GccQx 4 - Overdose de Corrimento"
Jessica Kate,jessicakate96,Thu Jul 27 20:46:31 +0000 2017,"@Lbcooperx Was it caffeine overdose from all the costa the doctor's buy? 😂😂joking! I hope youre okay ❤❤"
Salma Hamdy,SalmaHa11783700,Thu Jul 27 20:46:14 +0000 2017,"الواحد هيموت  overdose despacito 😂💔"
reina,mnaatasha,Thu Jul 27 20:46:00 +0000 2017,"Going home after three months, excitement overdose"
may ⓟ,mayrcha,Thu Jul 27 20:45:57 +0000 2017,"Chegar do trabalho e ver o Gui, aí eu chego em casa, me arrumo e vou ir ver o Gui. Vou morrer de overdose desse menino ❤️"
Vincent Valentine,HaremDetective,Thu Jul 27 20:45:35 +0000 2017,"@PsychoTsundere Sleeping pills, overdose, alcohol poisoning, severimg the spinal corn from the skull down"
ً,byunbaekhyns,Thu Jul 27 20:45:35 +0000 2017,"love me right and overdose are their best title tracks. thats the tea for today"
lay,feelmsk,Thu Jul 27 20:45:03 +0000 2017,"RT @itsbaekhyuwn: coreografia de overdose ou de wolf? #EXO #TheWarEXO #KOKOBOP @weareoneEXO"
